gensci,analsci,collsci,pynam,GL_pyscinam,N
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ORCHOMENELLA PINGUIS,Gammaridae,7
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PARAHAUSTORIUS ATTENUATUS,Gammaridae,7
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PARAHAUSTORIUS HOLMESI,Gammaridae,7
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PARAHAUSTORIUS LONGIMERUS,Gammaridae,5
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PARAMPHITHOE SP,Gammaridae,2
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PAROEDICEROS LYNCEUS,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PHOTIDAE,Gammaridae,5
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PHOTIS DENTATA,Gammaridae,10
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PHOTIS MACROCOXA,Gammaridae,11
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PHOTIS REINHARDI,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PHOXOCEPHALIDAE,Gammaridae,63
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PHOXOCEPHALUS HOLBOLLI,Gammaridae,62
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PHROSINA SP,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PLEUSTES PANOPLUS,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PLEUSTIDAE,Gammaridae,5
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PLEUSYMTES GLABER,Gammaridae,3
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PODOCERIDAE,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PODOCEROPSIS NITIDA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PONTOGENEIA INERMIS,Gammaridae,205
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PROTOHAUSTORIUS DEICHMANNAE,Gammaridae,2
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PROTOHAUSTORIUS WIGLEYI,Gammaridae,9
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PSAMMONYX NOBILIS,Gammaridae,69
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PSEUDOHAUSTORIUS BOREALIS,Gammaridae,3
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PSEUDOHAUSTORIUS CAROLINIENSIS,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,PSEUDUNCIOLA OBLIQUUA,Gammaridae,5
ARTHROPODA,AMPHIPODA,GAMMARIDEA,RHACHOTROPIS ACULEATA,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,RHACHOTROPIS OCULATA,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,RHEPOXYNIUS EPISTOMUS,Gammaridae,60
ARTHROPODA,AMPHIPODA,GAMMARIDEA,STEGOCEPHALUS INFLATUS,Gammaridae,9
ARTHROPODA,AMPHIPODA,GAMMARIDEA,STENOPLEUSTES GRACILIS,Gammaridae,11
ARTHROPODA,AMPHIPODA,GAMMARIDEA,STENOPLEUSTES INERMIS,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,STENOTHOE SP,Gammaridae,2
ARTHROPODA,AMPHIPODA,GAMMARIDEA,STENOTHOIDAE,Gammaridae,14
ARTHROPODA,AMPHIPODA,GAMMARIDEA,SYNCHELIDIUM AMERICANUM,Gammaridae,5
ARTHROPODA,AMPHIPODA,GAMMARIDEA,SYRRHOE CRENULATA,Gammaridae,6
ARTHROPODA,AMPHIPODA,GAMMARIDEA,TIRON SPINIFERUM,Gammaridae,6
ARTHROPODA,AMPHIPODA,GAMMARIDEA,TIRONIDAE,Gammaridae,7
ARTHROPODA,AMPHIPODA,GAMMARIDEA,UNCIOLA DISSIMILIS,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,UNCIOLA INERMIS,Gammaridae,63
ARTHROPODA,AMPHIPODA,GAMMARIDEA,UNCIOLA IRRORATA,Gammaridae,1673
ARTHROPODA,AMPHIPODA,GAMMARIDEA,WESTWOODILLA SP,Gammaridae,1
MOLLUSCA,GASTROPODA,GASTROPODA,ACMAEIDAE,Gastropoda,22
MOLLUSCA,GASTROPODA,GASTROPODA,ADALARIA SP,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,ANACHIS SP,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,ANATOMA CRISPATA,Gastropoda,1
MOLLUSCA,GASTROPODA,GASTROPODA,BUCCINIDAE,Gastropoda,10
